Oct 12 19:08:07.108 ERROR 1112 DSTestResultDialog::Initialize: [Hortonworks][ThriftExtension] (5) Error occurred while contacting server: Could not refill buffer. This could be because you are trying to establish a non-SSL connection to a SSL-enabled server.
Oct 12 19:08:25.664 ERROR 1112 DSTestResultDialog::Initialize: [Hortonworks][Hardy] (76) Error connecting to ZooKeeper. Please ensure the ZooKeeper host(s) and other connection information are configured correctly.
Oct 12 19:09:30.621 ERROR 1112 DSTestResultDialog::Initialize: [Hortonworks][Hardy] (76) Error connecting to ZooKeeper. Please ensure the ZooKeeper host(s) and other connection information are configured correctly.
Oct 12 19:09:43.372 ERROR 1112 DSTestResultDialog::Initialize: [Hortonworks][Hardy] (76) Error connecting to ZooKeeper. Please ensure the ZooKeeper host(s) and other connection information are configured correctly.
Oct 12 19:09:51.708 ERROR 1112 DSTestResultDialog::Initialize: [Hortonworks][Hardy] (76) Error connecting to ZooKeeper. Please ensure the ZooKeeper host(s) and other connection information are configured correctly.
Oct 12 19:11:23.775 ERROR 1112 DSTestResultDialog::Initialize: [Hortonworks][Hardy] (76) Error connecting to ZooKeeper. Please ensure the ZooKeeper host(s) and other connection information are configured correctly.
Oct 12 19:11:36.270 ERROR 1112 DSTestResultDialog::Initialize: [Hortonworks][Hardy] (76) Error connecting to ZooKeeper. Please ensure the ZooKeeper host(s) and other connection information are configured correctly.
Oct 12 19:11:43.409 ERROR 1112 DSTestResultDialog::Initialize: [Hortonworks][Hardy] (76) Error connecting to ZooKeeper. Please ensure the ZooKeeper host(s) and other connection information are configured correctly.
Oct 12 19:11:51.707 ERROR 1112 DSTestResultDialog::Initialize: [Hortonworks][Hardy] (76) Error connecting to ZooKeeper. Please ensure the ZooKeeper host(s) and other connection information are configured correctly.
Oct 12 19:19:58.026 ERROR 1112 DSTestResultDialog::Initialize: [Hortonworks][ThriftExtension] (5) Error occurred while contacting server: Could not refill buffer. This could be because you are trying to establish a non-SSL connection to a SSL-enabled server.
Oct 12 20:34:52.294 INFO  16924 Driver::Initialize: Database WCHAR Encoding: UTF-8
Oct 12 20:34:52.294 INFO  16924 Driver::Initialize: ANSI CHAR Encoding: ibm-5348
Oct 12 20:34:52.294 INFO  16924 Driver::Initialize: Driver Manager WCHAR Encoding: UTF-16LE
Oct 12 20:34:52.294 INFO  16924 Driver::Initialize: Detected Driver Manager: Windows, Unknown
Oct 12 20:34:52.294 INFO  16924 Driver::Initialize: Locale name: en_US
Oct 12 20:34:52.294 INFO  16924 Driver::Initialize: Bitness: 64-bit
Oct 12 20:34:52.294 INFO  16924 CInterface::SQLAllocHandle: Allocating environment handle.
Oct 12 20:34:52.295 INFO  16924 Environment::SQLSetEnvAttr: Attribute: SQL_ATTR_ODBC_VERSION (200)
Oct 12 20:34:52.295 INFO  16924 EnvironmentAttributes::SetAttribute: Setting ODBC version to: 3
Oct 12 20:34:52.295 INFO  16924 CInterface::SQLAllocHandle: Allocating connection handle.
Oct 12 20:35:13.305 INFO  16924 CInterface::SQLFreeHandle: Freeing connection handle.
Oct 12 20:35:34.310 INFO  16924 CInterface::SQLFreeHandle: Freeing environment handle.
Oct 12 21:48:56.312 INFO  13432 Driver::LogVersions: SDK Version: 09.05.19.1033
Oct 12 21:48:56.332 INFO  13432 Driver::LogVersions: DSII Version: 2.1.16.1023
Oct 12 21:48:56.332 INFO  13432 Driver::Initialize: Database CHAR Encoding: UTF-8
Oct 12 21:48:56.332 INFO  13432 Driver::Initialize: Database WCHAR Encoding: UTF-8
Oct 12 21:48:56.332 INFO  13432 Driver::Initialize: ANSI CHAR Encoding: ibm-5348
Oct 12 21:48:56.332 INFO  13432 Driver::Initialize: Driver Manager WCHAR Encoding: UTF-16LE
Oct 12 21:48:56.332 INFO  13432 Driver::Initialize: Detected Driver Manager: Windows, Unknown
Oct 12 21:48:56.332 INFO  13432 Driver::Initialize: Locale name: en_US
Oct 12 21:48:56.332 INFO  13432 Driver::Initialize: Bitness: 64-bit
Oct 12 21:48:56.332 INFO  13432 CInterface::SQLAllocHandle: Allocating environment handle.
Oct 12 21:48:56.333 INFO  13432 Environment::SQLSetEnvAttr: Attribute: SQL_ATTR_ODBC_VERSION (200)
Oct 12 21:48:56.333 INFO  13432 EnvironmentAttributes::SetAttribute: Setting ODBC version to: 3
Oct 12 21:48:56.333 INFO  13432 CInterface::SQLAllocHandle: Allocating connection handle.
Oct 12 21:49:17.490 INFO  13432 CInterface::SQLFreeHandle: Freeing connection handle.
Oct 12 21:49:17.490 INFO  13432 CInterface::SQLFreeHandle: Freeing environment handle.
Oct 12 21:53:42.729 INFO  15548 Driver::LogVersions: SDK Version: 09.05.19.1033
Oct 12 21:53:42.730 INFO  15548 Driver::LogVersions: DSII Version: 2.1.16.1023
Oct 12 21:53:42.730 INFO  15548 Driver::Initialize: Database CHAR Encoding: UTF-8
Oct 12 21:53:42.730 INFO  15548 Driver::Initialize: Database WCHAR Encoding: UTF-8
Oct 12 21:53:42.730 INFO  15548 Driver::Initialize: ANSI CHAR Encoding: ibm-5348
Oct 12 21:53:42.730 INFO  15548 Driver::Initialize: Driver Manager WCHAR Encoding: UTF-16LE
Oct 12 21:53:42.730 INFO  15548 Driver::Initialize: Detected Driver Manager: Windows, Unknown
Oct 12 21:53:42.730 INFO  15548 Driver::Initialize: Locale name: en_US
Oct 12 21:53:42.730 INFO  15548 Driver::Initialize: Bitness: 64-bit
Oct 12 21:53:42.730 INFO  15548 CInterface::SQLAllocHandle: Allocating environment handle.
Oct 12 21:53:42.731 INFO  15548 Environment::SQLSetEnvAttr: Attribute: SQL_ATTR_ODBC_VERSION (200)
